"OrderNumber","SalesChannelTxt","SalesChannel","WarehouseCode","Warehouse","ProcuredDate","OrderDate","StockTime","ShipDate","ProcessingTime","DeliveryDate","ShippingTime","CurrencyCode","SalesTeamID","CustomerID","StoreID","ProductID","Order Quantity","Discount Applied","Unit Cost","Unit Price"
"SO - 000508","Online",2,"WARE-UHY1004",4,10/04/18,"18/07/18",99,11/08/18,24,"17/08/18",6,"USD",19,13,255,18,1,0.05,"4,130.01","5,581.10"
"SO - 0001611","Distributor",3,"WARE-NMK1003",3,"19/07/18","27/11/18",131,"13/12/18",16,"20/12/18",7,"USD",25,23,104,8,2,0.3,"1,795.33","3,095.40"
"SO - 0002641","In-Store",1,"WARE-NMK1003",3,04/02/19,"26/03/19",50,12/04/19,17,"21/04/19",9,"USD",3,2,127,42,2,0.1,"1,754.06","2,278.00"
"SO - 0003743","Distributor",3,"WARE-XYS1001",1,"15/05/19",02/08/19,79,"30/08/19",28,02/09/19,3,"USD",21,18,34,18,5,0.05,654.46,991.6
"SO - 0007729","Wholesale",4,"WARE-MKL1006",6,"18/06/20","17/11/20",152,"23/11/20",6,"26/11/20",3,"USD",25,37,366,22,2,0.1,"3,064.45","3,979.80"
"SO - 0007876","In-Store",1,"WARE-XYS1001",1,"26/09/20",05/12/20,70,"16/12/20",11,"22/12/20",6,"USD",7,19,37,10,5,0.1,866.71,"1,969.80"
"SO - 0008056","Online",2,"WARE-UHY1004",4,"26/09/20","27/12/20",92,"31/12/20",4,09/01/21,9,"USD",16,15,211,17,5,0.08,131.32,268
"SO - 0003001","Wholesale",4,"WARE-UHY1004",4,04/02/19,06/05/19,91,08/05/19,2,"16/05/19",8,"USD",28,46,213,4,8,0.2,95.81,174.2
"SO - 0004665","In-Store",1,"WARE-UHY1004",4,"23/08/19","25/11/19",94,"27/11/19",2,"30/11/19",3,"USD",7,16,211,14,8,0.05,"2,510.09","2,988.20"
"SO - 0007429","Online",2,"WARE-XYS1001",1,"18/06/20","15/10/20",119,"22/10/20",7,"31/10/20",9,"USD",13,34,11,33,2,0.05,"2,679.93","3,999.90"
"SO - 0002096","In-Store",1,"WARE-UHY1004",4,"27/10/18","16/01/19",81,"22/01/19",6,"28/01/19",6,"USD",4,17,249,29,1,0.15,"2,450.32","5,976.40"
"SO - 0004380","Wholesale",4,"WARE-NMK1003",3,"15/05/19","22/10/19",160,11/11/19,20,"20/11/19",9,"USD",27,14,145,15,3,0.15,"2,378.90","2,901.10"
"SO - 0007348","Wholesale",4,"WARE-NMK1003",3,"18/06/20",05/10/20,109,"21/10/20",16,"29/10/20",8,"USD",26,43,177,24,8,0.15,"2,734.61","6,076.90"
"SO - 0005513","Distributor",3,"WARE-MKL1006",6,01/12/19,01/03/20,91,05/03/20,4,"13/03/20",8,"USD",22,4,342,30,6,0.05,"4,186.70","5,735.20"
"SO - 0005941","In-Store",1,"WARE-PUJ1005",5,01/12/19,"23/04/20",144,"13/05/20",20,"20/05/20",7,"USD",1,17,292,14,5,0.08,"2,077.34","3,919.50"
"SO - 000603","Distributor",3,"WARE-XYS1001",1,10/04/18,"29/07/18",110,"26/08/18",28,01/09/18,6,"USD",20,33,35,26,8,0.4,"3,832.67","6,083.60"
"SO - 0004609","Distributor",3,"WARE-XYS1001",1,"23/08/19","19/11/19",88,05/12/19,16,07/12/19,2,"USD",24,44,33,16,4,0.08,"1,642.30","2,566.10"
"SO - 0003307","Online",2,"WARE-NMK1003",3,04/02/19,10/06/19,126,01/07/19,21,04/07/19,3,"USD",13,38,169,45,2,0.08,"1,093.44","2,278.00"
"SO - 0003422","In-Store",1,"WARE-XYS1001",1,04/02/19,"25/06/19",141,"29/06/19",4,03/07/19,4,"USD",8,33,5,44,2,0.08,120.2,261.3
"SO - 0002986","Distributor",3,"WARE-UHY1004",4,04/02/19,04/05/19,89,10/05/19,6,"13/05/19",3,"USD",22,45,251,32,2,0.4,698.81,998.3
"SO - 0004917","In-Store",1,"WARE-NMK1003",3,"23/08/19","26/12/19",125,04/01/20,9,12/01/20,8,"USD",9,1,128,14,5,0.05,"1,958.54","3,497.40"
"SO - 000837","In-Store",1,"WARE-XYS1001",1,10/04/18,"23/08/18",135,03/09/18,11,09/09/18,6,"USD",11,26,29,2,4,0.08,486.89,"1,132.30"
"SO - 0004717","In-Store",1,"WARE-NMK1003",3,"23/08/19",01/12/19,100,"22/12/19",21,"27/12/19",5,"USD",8,43,190,2,6,0.2,"1,587.50","2,405.30"
"SO - 0005842","Distributor",3,"WARE-NMK1003",3,01/12/19,11/04/20,132,"14/04/20",3,"18/04/20",4,"USD",24,17,174,14,6,0.05,"3,249.97","5,701.70"
"SO - 0006734","Distributor",3,"WARE-NBV1002",2,10/03/20,"24/07/20",136,"27/07/20",3,"29/07/20",2,"USD",21,39,84,29,1,0.1,"1,446.80","2,452.20"
"SO - 0007621","Distributor",3,"WARE-XYS1001",1,"26/09/20",04/11/20,39,"22/11/20",18,"25/11/20",3,"USD",21,4,35,47,2,0.1,"2,012.01","3,095.40"
"SO - 0002274","Online",2,"WARE-MKL1006",6,"27/10/18",06/02/19,102,"20/02/19",14,"27/02/19",7,"USD",18,13,352,7,2,0.3,"2,164.90","3,865.90"
"SO - 0007172","In-Store",1,"WARE-PUJ1005",5,"18/06/20","16/09/20",90,12/10/20,26,"19/10/20",7,"USD",8,46,312,27,6,0.2,"1,382.88","2,304.80"
"SO - 0001284","In-Store",1,"WARE-NMK1003",3,"19/07/18","20/10/18",93,"17/11/18",28,"24/11/18",7,"USD",9,43,188,45,5,0.08,"1,470.11","3,195.90"
"SO - 0001509","In-Store",1,"WARE-UHY1004",4,"19/07/18","15/11/18",119,03/12/18,18,"13/12/18",10,"USD",10,37,257,22,5,0.05,"5,161.68","6,452.10"
"SO - 0003006","In-Store",1,"WARE-NMK1003",3,04/02/19,06/05/19,91,"30/05/19",24,02/06/19,3,"USD",12,17,183,6,6,0.1,921.52,"2,003.30"
"SO - 0006782","In-Store",1,"WARE-MKL1006",6,10/03/20,"29/07/20",141,02/08/20,4,06/08/20,4,"USD",9,35,336,42,6,0.05,"1,455.24","3,638.10"
"SO - 0001117","In-Store",1,"WARE-XYS1001",1,"19/07/18","27/09/18",70,07/10/18,10,"15/10/18",8,"USD",9,11,19,21,5,0.05,"1,822.40","2,278.00"
"SO - 0002195","In-Store",1,"WARE-NMK1003",3,"27/10/18","28/01/19",93,"22/02/19",25,"26/02/19",4,"USD",7,48,133,27,3,0.08,582.5,924.6
"SO - 0007207","Online",2,"WARE-XYS1001",1,"18/06/20","19/09/20",93,"22/09/20",3,"29/09/20",7,"USD",18,28,27,45,1,0.1,"3,062.44","3,926.20"
"SO - 0003235","In-Store",1,"WARE-NMK1003",3,04/02/19,01/06/19,117,"18/06/19",17,"20/06/19",2,"USD",1,32,167,1,5,0.05,"2,257.16","3,825.70"
"SO - 0004424","In-Store",1,"WARE-NMK1003",3,"23/08/19","27/10/19",65,"21/11/19",25,"29/11/19",8,"USD",11,29,180,8,8,0.05,"1,377.32","2,257.90"
"SO - 0003002","Online",2,"WARE-PUJ1005",5,04/02/19,06/05/19,91,03/06/19,28,11/06/19,8,"USD",18,8,270,2,7,0.3,756.3,"1,112.20"
"SO - 0005001","In-Store",1,"WARE-PUJ1005",5,"23/08/19",05/01/20,135,"16/01/20",11,"20/01/20",4,"USD",6,45,304,35,2,0.2,"1,814.43","3,557.70"
"SO - 0005618","In-Store",1,"WARE-XYS1001",1,01/12/19,"15/03/20",105,"22/03/20",7,"28/03/20",6,"USD",2,50,29,33,2,0.1,"1,233.34","2,371.80"
"SO - 0006632","In-Store",1,"WARE-XYS1001",1,10/03/20,"13/07/20",125,"21/07/20",8,"22/07/20",1,"USD",1,7,41,3,4,0.1,686.08,857.6
"SO - 0006140","Online",2,"WARE-UHY1004",4,01/12/19,"17/05/20",168,09/06/20,23,"14/06/20",5,"USD",13,38,253,22,2,0.08,"2,880.60","3,892.70"
"SO - 000211","In-Store",1,"WARE-NMK1003",3,10/04/18,"13/06/18",64,08/07/18,25,"18/07/18",10,"USD",6,40,186,27,7,0.2,"1,390.92","3,477.30"
"SO - 0007170","Online",2,"WARE-UHY1004",4,"18/06/20","16/09/20",90,"28/09/20",12,03/10/20,5,"USD",13,42,260,22,5,0.08,"2,803.95","3,738.60"
"SO - 0003094","Wholesale",4,"WARE-PUJ1005",5,04/02/19,"17/05/19",102,"25/05/19",8,01/06/19,7,"USD",27,25,285,40,8,0.15,589.6,"1,072.00"
"SO - 0005825","Online",2,"WARE-PUJ1005",5,01/12/19,09/04/20,130,"26/04/20",17,"27/04/20",1,"USD",12,26,301,25,4,0.1,"1,761.16","2,257.90"
"SO - 0007162","Distributor",3,"WARE-NBV1002",2,"18/06/20","15/09/20",89,02/10/20,17,08/10/20,6,"USD",20,17,68,41,1,0.1,751.61,"1,058.60"
"SO - 0004960","Online",2,"WARE-NMK1003",3,"23/08/19","31/12/19",130,"16/01/20",16,"20/01/20",4,"USD",19,7,158,12,7,0.08,"1,296.05","2,492.40"
"SO - 0006239","In-Store",1,"WARE-MKL1006",6,10/03/20,"29/05/20",80,"31/05/20",2,04/06/20,4,"USD",2,46,343,37,8,0.1,"2,465.60","3,852.50"
"SO - 0001411","Wholesale",4,"WARE-UHY1004",4,"19/07/18",03/11/18,107,01/12/18,28,05/12/18,4,"USD",28,24,248,18,2,0.4,132.66,241.2
"SO - 0001520","In-Store",1,"WARE-NMK1003",3,"19/07/18","16/11/18",120,04/12/18,18,06/12/18,2,"USD",3,14,168,44,3,0.2,494.39,"1,051.90"
"SO - 0002887","In-Store",1,"WARE-UHY1004",4,04/02/19,"25/04/19",80,"17/05/19",22,"26/05/19",9,"USD",3,34,241,25,8,0.05,107.07,227.8
"SO - 0004555","In-Store",1,"WARE-MKL1006",6,"23/08/19","14/11/19",83,01/12/19,17,10/12/19,9,"USD",10,38,353,37,4,0.4,506.99,"1,078.70"
"SO - 0007720","Wholesale",4,"WARE-XYS1001",1,"18/06/20","16/11/20",151,"23/11/20",7,"29/11/20",6,"USD",27,7,53,40,4,0.05,743.7,"1,005.00"
"SO - 0001494","In-Store",1,"WARE-NMK1003",3,"19/07/18","13/11/18",117,"18/11/18",5,"25/11/18",7,"USD",12,46,172,18,1,0.05,"1,317.42","2,485.70"
"SO - 0002519","Online",2,"WARE-NMK1003",3,"27/10/18",10/03/19,134,"13/03/19",3,"23/03/19",10,"USD",17,31,90,9,7,0.08,"2,154.52","2,659.90"
"SO - 0003701","In-Store",1,"WARE-NMK1003",3,"15/05/19","29/07/19",75,"16/08/19",18,"24/08/19",8,"USD",9,31,112,42,8,0.1,"1,579.32","2,224.40"
"SO - 0007535","Online",2,"WARE-UHY1004",4,"18/06/20","27/10/20",131,08/11/20,12,09/11/20,1,"USD",19,26,245,18,8,0.2,"1,260.87","2,472.30"
"SO - 0007417","In-Store",1,"WARE-NBV1002",2,"18/06/20","13/10/20",117,"17/10/20",4,"20/10/20",3,"USD",1,36,80,36,2,0.05,799.24,"1,011.70"
"SO - 0002481","Online",2,"WARE-NMK1003",3,"27/10/18",03/03/19,127,07/03/19,4,"17/03/19",10,"USD",18,20,173,25,8,0.08,128.98,234.5
"SO - 0003889","Distributor",3,"WARE-NBV1002",2,"15/05/19","20/08/19",97,06/09/19,17,10/09/19,4,"USD",21,39,60,6,7,0.4,143.72,261.3
"SO - 0002532","Online",2,"WARE-NBV1002",2,"27/10/18",11/03/19,135,"15/03/19",4,"16/03/19",1,"USD",20,8,74,3,3,0.2,"2,844.69","4,006.60"
"SO - 0006961","In-Store",1,"WARE-MKL1006",6,"18/06/20","21/08/20",64,03/09/20,13,"13/09/20",10,"USD",10,21,348,35,6,0.08,866.65,"1,333.30"
"SO - 0006453","Distributor",3,"WARE-XYS1001",1,10/03/20,"22/06/20",104,"30/06/20",8,08/07/20,8,"USD",25,17,42,47,5,0.08,90.45,167.5
"SO - 0006756","Online",2,"WARE-MKL1006",6,10/03/20,"26/07/20",138,"18/08/20",23,"26/08/20",8,"USD",14,17,346,19,3,0.15,"1,821.66","3,195.90"
"SO - 0004208","Online",2,"WARE-XYS1001",1,"15/05/19","29/09/19",137,"21/10/19",22,"28/10/19",7,"USD",20,23,37,17,4,0.05,809.96,"1,051.90"
"SO - 0006477","In-Store",1,"WARE-UHY1004",4,10/03/20,"25/06/20",107,"27/06/20",2,01/07/20,4,"USD",1,7,248,9,6,0.15,"3,540.62","5,447.10"
"SO - 0001344","Online",2,"WARE-XYS1001",1,"19/07/18","27/10/18",100,"30/10/18",3,03/11/18,4,"USD",19,49,7,36,2,0.1,"1,973.15","3,182.50"
"SO - 0001453","In-Store",1,"WARE-MKL1006",6,"19/07/18",09/11/18,113,"17/11/18",8,"21/11/18",4,"USD",4,39,367,13,8,0.05,632.68,891.1
"SO - 0006289","In-Store",1,"WARE-MKL1006",6,10/03/20,02/06/20,84,"19/06/20",17,"28/06/20",9,"USD",10,22,335,17,6,0.08,"2,724.89","3,892.70"
"SO - 000999","Online",2,"WARE-NMK1003",3,"19/07/18","13/09/18",56,03/10/18,20,12/10/18,9,"USD",18,19,154,22,7,0.2,"3,360.05","3,953.00"
"SO - 0006779","Online",2,"WARE-PUJ1005",5,10/03/20,"29/07/20",141,"24/08/20",26,"26/08/20",2,"USD",15,26,264,16,3,0.05,545.51,924.6
"SO - 0005205","Online",2,"WARE-NMK1003",3,"23/08/19","27/01/20",157,"24/02/20",28,04/03/20,9,"USD",18,3,140,31,7,0.05,"1,989.63","3,430.40"
"SO - 0004209","In-Store",1,"WARE-XYS1001",1,"15/05/19","29/09/19",137,06/10/19,7,07/10/19,1,"USD",10,44,21,26,7,0.05,622.3,"1,152.40"
"SO - 0003179","In-Store",1,"WARE-NMK1003",3,04/02/19,"27/05/19",112,"18/06/19",22,"20/06/19",2,"USD",2,48,177,31,8,0.08,922.59,"1,085.40"
"SO - 0002241","In-Store",1,"WARE-PUJ1005",5,"27/10/18",03/02/19,99,05/02/19,2,12/02/19,7,"USD",4,9,272,19,3,0.05,"4,025.36","5,031.70"
"SO - 0007302","Wholesale",4,"WARE-UHY1004",4,"18/06/20","30/09/20",104,"13/10/20",13,"17/10/20",4,"USD",26,30,226,41,5,0.08,436.84,"1,092.10"
"SO - 0005953","In-Store",1,"WARE-PUJ1005",5,10/03/20,"25/04/20",46,11/05/20,16,"16/05/20",5,"USD",4,11,317,40,3,0.1,144.45,187.6
"SO - 0007821","Wholesale",4,"WARE-PUJ1005",5,"26/09/20","28/11/20",63,"20/12/20",22,"29/12/20",9,"USD",26,16,321,35,2,0.05,"2,835.17","3,993.20"
"SO - 0002760","In-Store",1,"WARE-PUJ1005",5,"27/10/18",09/04/19,164,01/05/19,22,11/05/19,10,"USD",2,26,319,9,5,0.4,"1,433.93","2,472.30"
"SO - 0003082","Distributor",3,"WARE-NBV1002",2,04/02/19,"15/05/19",100,"29/05/19",14,"31/05/19",2,"USD",21,50,68,32,6,0.05,844.2,"1,206.00"
"SO - 0007115","In-Store",1,"WARE-MKL1006",6,"18/06/20",08/09/20,82,"26/09/20",18,05/10/20,9,"USD",3,34,337,45,7,0.15,985.3,"1,728.60"
"SO - 0007646","Distributor",3,"WARE-UHY1004",4,"18/06/20",08/11/20,143,04/12/20,26,09/12/20,5,"USD",21,12,254,24,5,0.4,"1,447.74","1,983.20"
"SO - 0007142","In-Store",1,"WARE-PUJ1005",5,"18/06/20","13/09/20",87,"20/09/20",7,"29/09/20",9,"USD",8,44,316,8,3,0.05,"2,656.55","5,313.10"
"SO - 0003556","Wholesale",4,"WARE-NMK1003",3,04/02/19,12/07/19,158,"25/07/19",13,"26/07/19",1,"USD",26,11,151,28,8,0.3,566.15,871
"SO - 0004402","Distributor",3,"WARE-UHY1004",4,"23/08/19","24/10/19",62,"14/11/19",21,"23/11/19",9,"USD",21,22,240,46,7,0.08,"2,051.41","2,532.60"
"SO - 0002522","Distributor",3,"WARE-PUJ1005",5,"27/10/18",10/03/19,134,"25/03/19",15,02/04/19,8,"USD",23,33,284,34,7,0.3,"4,673.72","5,916.10"
"SO - 000383","In-Store",1,"WARE-NMK1003",3,10/04/18,04/07/18,85,"19/07/18",15,"25/07/18",6,"USD",6,11,146,41,5,0.05,"1,443.85","2,887.70"
"SO - 0002330","Wholesale",4,"WARE-PUJ1005",5,"27/10/18",12/02/19,108,10/03/19,26,"15/03/19",5,"USD",28,40,284,10,7,0.08,"1,447.60","1,855.90"
"SO - 0004159","Online",2,"WARE-XYS1001",1,"15/05/19","23/09/19",131,"20/10/19",27,"26/10/19",6,"USD",20,3,12,23,8,0.1,135.01,207.7
"SO - 0005983","Distributor",3,"WARE-NMK1003",3,01/12/19,"28/04/20",149,"14/05/20",16,"16/05/20",2,"USD",23,18,106,13,7,0.08,772.78,"1,058.60"
"SO - 0007732","Wholesale",4,"WARE-PUJ1005",5,"18/06/20","17/11/20",152,03/12/20,16,05/12/20,2,"USD",28,42,285,32,4,0.15,517.37,958.1
"SO - 0007252","Online",2,"WARE-NMK1003",3,"18/06/20","23/09/20",97,06/10/20,13,09/10/20,3,"USD",16,31,136,6,1,0.08,"1,675.74","2,659.90"
"SO - 0001679","In-Store",1,"WARE-NMK1003",3,"19/07/18",05/12/18,139,"13/12/18",8,"18/12/18",5,"USD",2,28,118,19,3,0.3,"1,707.63","2,217.70"
"SO - 0003555","In-Store",1,"WARE-NMK1003",3,"15/05/19",12/07/19,58,07/08/19,26,"14/08/19",7,"USD",10,15,92,22,5,0.15,857.6,"1,715.20"
"SO - 0006819","In-Store",1,"WARE-NMK1003",3,10/03/20,03/08/20,146,"14/08/20",11,"15/08/20",1,"USD",1,5,91,20,6,0.2,"1,691.15","3,932.90"
"SO - 0006166","Wholesale",4,"WARE-UHY1004",4,01/12/19,"21/05/20",172,"28/05/20",7,01/06/20,4,"USD",26,24,208,25,1,0.4,"1,909.50","2,546.00"
"SO - 0006322","Online",2,"WARE-NMK1003",3,10/03/20,05/06/20,87,"29/06/20",24,04/07/20,5,"USD",12,35,131,27,8,0.15,603,837.5
"SO - 0002992","In-Store",1,"WARE-NMK1003",3,04/02/19,05/05/19,90,"28/05/19",23,07/06/19,10,"USD",8,11,122,10,4,0.1,"1,302.48","1,809.00"
"SO - 0002764","Wholesale",4,"WARE-NMK1003",3,04/02/19,10/04/19,65,05/05/19,25,11/05/19,6,"USD",26,36,130,6,4,0.05,514.56,857.6
"SO - 0002358","Distributor",3,"WARE-NMK1003",3,"27/10/18","16/02/19",112,04/03/19,16,09/03/19,5,"USD",23,49,165,29,1,0.08,"1,101.68","1,748.70"
"SO - 0005805","In-Store",1,"WARE-XYS1001",1,01/12/19,06/04/20,127,"23/04/20",17,"27/04/20",4,"USD",8,22,36,17,5,0.15,582.5,"1,266.30"
"SO - 0005996","Online",2,"WARE-UHY1004",4,01/12/19,"29/04/20",150,"17/05/20",18,"24/05/20",7,"USD",15,16,233,16,2,0.08,"3,591.54","5,058.50"
"SO - 0003426","Online",2,"WARE-PUJ1005",5,04/02/19,"26/06/19",142,"28/06/19",2,06/07/19,8,"USD",15,18,300,42,4,0.2,795.22,958.1
"SO - 0003821","Wholesale",4,"WARE-PUJ1005",5,"15/05/19",12/08/19,89,02/09/19,21,10/09/19,8,"USD",28,8,309,42,1,0.1,756.97,"1,802.30"
"SO - 0007470","Online",2,"WARE-PUJ1005",5,"18/06/20","20/10/20",124,"26/10/20",6,04/11/20,9,"USD",14,11,319,18,3,0.15,"4,534.56","6,298.00"
"SO - 000967","Wholesale",4,"WARE-NMK1003",3,10/04/18,10/09/18,153,"29/09/18",19,02/10/18,3,"USD",26,28,98,11,8,0.05,"1,824.34","2,499.10"
"SO - 0005153","Distributor",3,"WARE-NBV1002",2,"23/08/19","20/01/20",150,06/02/20,17,08/02/20,2,"USD",24,20,70,8,6,0.08,705.51,871
"SO - 0007937","Online",2,"WARE-NMK1003",3,"26/09/20","13/12/20",78,10/01/21,28,"17/01/21",7,"USD",12,17,175,41,6,0.05,360.19,750.4
"SO - 000101","In-Store",1,"WARE-UHY1004",4,"31/12/17","31/05/18",151,"14/06/18",14,"19/06/18",5,"USD",6,15,259,12,5,0.08,504.11,763.8
"SO - 000277","Distributor",3,"WARE-UHY1004",4,"31/12/17","20/06/18",171,"17/07/18",27,"20/07/18",3,"USD",25,35,233,31,7,0.15,565.61,844.2
"SO - 0004598","Distributor",3,"WARE-UHY1004",4,"23/08/19","18/11/19",87,"20/11/19",2,"28/11/19",8,"USD",24,14,236,21,6,0.08,112.36,261.3
"SO - 0006673","Distributor",3,"WARE-XYS1001",1,10/03/20,"17/07/20",129,03/08/20,17,08/08/20,5,"USD",24,32,16,36,2,0.4,"2,359.94","3,999.90"
"SO - 0002470","Distributor",3,"WARE-NMK1003",3,"27/10/18",01/03/19,125,"25/03/19",24,04/04/19,10,"USD",20,24,113,37,6,0.15,811.91,"1,112.20"
"SO - 0007682","Online",2,"WARE-PUJ1005",5,"26/09/20",12/11/20,47,03/12/20,21,"13/12/20",10,"USD",12,39,295,11,8,0.15,"1,843.17","2,633.10"
"SO - 0001473","In-Store",1,"WARE-NMK1003",3,"19/07/18",11/11/18,115,06/12/18,25,07/12/18,1,"USD",8,31,176,37,7,0.4,631.41,"1,018.40"
"SO - 0007518","Online",2,"WARE-NMK1003",3,"18/06/20","25/10/20",129,"27/10/20",2,01/11/20,5,"USD",12,12,193,21,6,0.1,"3,444.74","5,219.30"
"SO - 000821","Wholesale",4,"WARE-XYS1001",1,10/04/18,"22/08/18",134,"31/08/18",9,01/09/18,1,"USD",26,11,22,38,5,0.15,"2,359.94","3,999.90"
"SO - 0003452","Wholesale",4,"WARE-UHY1004",4,"15/05/19","28/06/19",44,"26/07/19",28,"30/07/19",4,"USD",28,8,233,43,2,0.08,"1,084.80","1,721.90"
"SO - 0006085","Distributor",3,"WARE-NMK1003",3,10/03/20,11/05/20,62,"30/05/20",19,01/06/20,2,"USD",21,18,91,45,2,0.08,456.94,737
"SO - 000557","In-Store",1,"WARE-MKL1006",6,10/04/18,"23/07/18",104,"25/07/18",2,"28/07/18",3,"USD",5,23,364,25,1,0.15,695.06,"1,219.40"
"SO - 0001678","Online",2,"WARE-NMK1003",3,"19/07/18",05/12/18,139,10/12/18,5,"16/12/18",6,"USD",13,34,178,43,7,0.15,712.88,891.1
"SO - 0002858","Online",2,"WARE-NMK1003",3,04/02/19,"22/04/19",77,"18/05/19",26,"26/05/19",8,"USD",13,37,107,40,4,0.08,743.43,978.2
"SO - 0003944","In-Store",1,"WARE-XYS1001",1,"15/05/19","27/08/19",104,"17/09/19",21,"24/09/19",7,"USD",5,44,11,25,1,0.1,"1,657.45","3,946.30"
"SO - 0004225","In-Store",1,"WARE-MKL1006",6,"15/05/19",01/10/19,139,09/10/19,8,"18/10/19",9,"USD",7,12,357,10,8,0.1,922.86,"1,299.80"
"SO - 0006184","Distributor",3,"WARE-PUJ1005",5,10/03/20,"22/05/20",73,10/06/20,19,"15/06/20",5,"USD",21,1,294,19,7,0.08,"2,791.49","5,815.60"
"SO - 0007279","Online",2,"WARE-NMK1003",3,"18/06/20","27/09/20",101,02/10/20,5,12/10/20,10,"USD",14,4,153,32,7,0.05,655.26,"1,092.10"
"SO - 000719","Distributor",3,"WARE-MKL1006",6,10/04/18,11/08/18,123,03/09/18,23,"13/09/18",10,"USD",25,39,358,13,7,0.08,643.2,"1,072.00"
"SO - 0005687","Distributor",3,"WARE-PUJ1005",5,01/12/19,"24/03/20",114,"14/04/20",21,"24/04/20",10,"USD",21,23,313,16,8,0.05,"2,653.20","4,020.00"
"SO - 0007816","Distributor",3,"WARE-PUJ1005",5,"26/09/20","26/11/20",61,"17/12/20",21,"19/12/20",2,"USD",24,15,327,37,4,0.1,669.73,984.9
"SO - 0004935","Online",2,"WARE-XYS1001",1,"23/08/19","28/12/19",127,12/01/20,15,"19/01/20",7,"USD",19,48,58,13,8,0.05,100.23,227.8
"SO - 0001115","Online",2,"WARE-PUJ1005",5,"19/07/18","26/09/18",69,"24/10/18",28,03/11/18,10,"USD",14,14,282,38,2,0.05,"3,314.36","3,993.20"
